,open,high,low,close
20161116,810.14,817.93,810.14,815.33
20161111,804.94,811.87,797.15,811.87
20161104,809.27,811.0,800.61,805.81
20161028,807.54,822.26,806.67,811.0
20161021,803.21,807.54,798.88,807.54
20161014,804.94,811.0,799.75,804.08
20160930,807.54,807.54,797.15,802.34
20160923,800.61,812.74,798.88,809.27
20160914,821.4,823.99,800.61,801.48
20160909,836.12,836.12,827.46,829.19
20160902,831.79,841.31,829.19,835.25
20160826,839.58,840.45,825.73,835.25
20160819,843.91,865.56,833.52,840.45
20160812,799.75,842.18,797.15,839.58
20160805,811.87,825.73,790.22,799.75
20160729,790.22,817.07,788.49,813.6
20160722,795.42,803.21,789.36,791.09
20160715,774.63,800.61,773.77,795.42
20160708,769.44,784.16,767.71,773.77
20160701,759.05,773.77,756.45,771.17
20160624,760.78,772.9,754.72,759.05
20160617,760.71,762.51,750.6,759.91
20160608,764.32,766.48,759.99,763.59
20160603,745.55,768.65,741.95,763.59
20160527,751.33,752.05,739.78,747.0
20160520,750.6,754.21,739.78,749.16
20160513,763.59,765.76,745.55,752.77
20160506,769.37,781.63,765.04,765.04
20160429,767.92,782.36,757.82,768.65
20160422,786.69,788.85,753.49,767.2
20160415,770.81,797.51,770.81,791.02
20160408,772.25,785.96,763.59,768.65
20160401,772.25,781.63,754.93,775.14
20160325,767.2,795.35,763.59,770.09
20160318,742.67,768.65,739.06,766.48
20160311,752.77,762.87,723.18,739.06
20160304,712.36,763.59,685.66,756.38
20160226,736.89,749.88,698.65,712.36
20160219,702.98,743.39,702.26,730.4
20160205,726.07,729.68,708.75,721.74
20160129,756.38,759.26,698.65,727.51
20160122,752.05,785.24,743.39,756.38
20160115,799.67,805.45,757.82,760.71
20160108,871.84,874.0,792.46,808.33
20151231,902.87,905.03,868.23,871.12
20151225,881.94,928.12,879.78,901.42
20151218,852.35,911.53,850.91,888.43
20151211,884.83,889.88,852.35,859.57
20151204,851.63,925.96,835.76,880.5
20151127,911.53,915.13,837.92,852.35
20151120,881.22,922.35,878.33,911.53
20151113,907.92,971.42,885.55,889.16
20151106,819.16,912.97,800.4,899.98
20151030,842.97,858.13,817.72,825.65
20151023,819.16,853.8,810.5,833.59
20151016,796.79,827.1,793.18,816.27
20151009,788.85,796.07,778.03,792.46
20150930,767.92,770.09,750.6,762.87
20150925,778.03,804.0,759.99,767.2
20150918,798.95,809.78,759.99,785.96
20150911,839.36,840.09,770.09,796.79
20150902,778.75,871.84,762.15,860.29
20150828,806.89,811.94,677.0,787.41
20150821,915.86,925.24,832.87,835.76
20150814,919.46,943.28,902.15,918.02
20150807,886.27,943.28,882.66,915.86
20150731,962.04,967.09,873.28,897.82
20150724,1001.73,1001.73,967.09,971.42
20150717,1045.03,1080.39,972.86,1003.17
20150710,1037.81,1114.3,879.78,1078.22
20150703,1021.93,1058.74,925.96,949.05
20150626,1062.35,1133.79,971.42,999.56
20150619,1198.73,1203.78,1052.24,1061.62
20150612,1183.58,1265.12,1174.2,1197.29
20150605,1112.14,1218.22,1102.03,1182.13
20150529,1185.74,1226.15,1096.26,1111.42
20150522,1102.76,1182.13,1086.16,1179.97
20150515,1146.05,1178.53,1107.81,1120.8
20150508,1211.0,1211.0,1123.68,1149.66
20150430,1175.64,1260.07,1174.92,1211.0
20150424,1239.86,1247.08,1159.04,1170.59
20150417,1232.65,1268.73,1167.7,1227.6
20150410,966.61,1186.1,966.61,1186.1
20150403,911.29,993.67,903.47,948.57
20150327,917.3,932.93,880.02,902.27
20150320,903.47,945.56,892.64,916.7
20150313,805.45,934.14,796.43,896.85
20150306,839.12,842.73,794.62,803.64
20150227,839.73,846.94,813.27,836.72
20150217,834.31,843.93,821.08,836.72
20150213,807.25,848.14,790.41,834.31
20150206,813.27,863.18,801.24,807.85
20150130,858.97,863.78,822.29,833.11
20150123,837.92,875.2,810.86,861.37
20150116,889.64,934.74,867.39,919.7
20150109,956.99,981.04,880.02,902.27
20141231,934.14,960.6,882.42,947.97
20141226,891.44,967.21,818.08,903.47
20141219,822.29,937.75,793.42,897.45
20141212,849.95,929.33,778.39,833.71
20141205,753.13,911.29,721.86,869.19
20141128,633.46,743.51,628.05,743.51
20141121,653.91,656.31,626.85,644.89
20141114,659.92,695.4,644.89,652.7
20141107,666.54,679.77,636.47,651.5
20141031,602.79,677.96,595.58,658.72
20141024,605.8,617.83,600.39,607.6
20141017,603.99,617.83,597.98,603.99
20141010,607.0,614.22,604.6,606.4
20140930,605.2,608.2,602.19,605.2
20140926,616.62,617.22,597.98,603.99
20140919,616.62,624.44,607.6,619.63
20140912,629.85,631.66,613.02,619.03
20140905,611.21,635.27,607.0,631.06
20140829,617.83,620.23,605.2,611.81
20140822,632.26,638.27,611.81,617.83
20140815,630.45,641.88,623.84,631.66
20140808,638.87,662.33,624.44,629.25
20140801,612.41,662.93,611.21,638.87
20140725,572.72,614.82,567.91,610.01
20140718,577.54,579.94,567.91,572.72
20140711,591.37,592.57,571.52,576.93
20140704,584.75,597.38,584.15,591.37
20140627,587.76,593.77,575.13,585.95
20140620,600.39,611.21,577.54,587.76
20140613,556.19,619.63,554.68,603.99
20140606,563.7,573.23,551.18,557.69
20140530,571.22,575.73,558.19,563.7
20140523,552.18,571.72,542.66,567.71
20140516,546.16,560.7,539.65,552.18
20140509,543.66,546.16,529.13,541.15
20140430,551.18,552.68,534.64,545.66
20140425,526.12,564.71,522.11,551.18
20140418,556.19,561.2,524.62,528.63
20140411,527.62,568.72,527.62,558.69
20140404,531.13,539.65,518.1,528.12
20140328,527.12,540.15,514.59,527.62
20140321,509.08,535.64,490.04,528.12
20140314,523.61,528.12,493.55,504.57
20140307,539.65,542.66,514.09,528.63
20140228,561.2,562.7,532.63,545.16
20140221,593.77,601.29,567.71,568.72
20140214,557.69,613.82,556.19,592.77
20140207,554.68,557.69,543.66,557.69
20140130,566.71,570.72,556.19,558.69
20140124,562.7,581.74,551.18,571.72
20140117,578.74,584.25,561.2,562.7
20140110,583.25,588.76,563.7,579.74
20140103,578.24,608.3,571.22,585.25
20131227,584.75,597.78,560.2,576.23
20131220,613.82,632.86,584.25,584.25
20131213,653.91,658.42,611.31,616.32
20131206,670.95,691.99,650.9,653.41
20131129,658.92,683.47,656.91,668.94
20131122,662.93,699.01,651.4,672.45
20131115,655.41,694.0,637.37,656.91
20131108,687.98,693.5,636.87,655.41
20131101,658.92,713.54,637.37,682.47
20131025,599.28,678.96,589.26,660.42
20131018,618.83,623.34,585.25,598.78
20131011,582.75,627.85,564.21,623.34
20130930,583.75,590.77,579.74,582.75
20130927,628.85,637.37,563.7,583.75
20130918,649.9,670.95,614.32,628.35
20130913,552.68,681.97,552.68,649.4
20130905,525.62,558.69,520.11,540.15
20130830,520.11,539.65,513.59,519.1
20130823,499.56,551.18,499.56,519.61
20130816,482.52,549.67,481.02,517.6
20130809,479.52,494.55,476.01,481.02
20130802,461.98,493.55,456.46,479.52
20130726,449.95,500.56,444.44,470.49
20130719,513.59,526.62,458.97,459.97
20130712,447.44,530.63,436.92,505.57
20130705,479.01,486.03,438.92,456.96
20130628,544.16,544.16,445.44,487.03
20130621,582.18,609.75,531.13,552.68
20130614,586.88,587.51,563.08,579.05
20130607,637.62,650.15,590.01,593.77
20130531,626.97,661.74,616.01,639.5
20130524,623.53,655.47,618.2,630.1
20130517,611.94,625.09,578.74,620.71
20130510,603.48,635.74,598.47,614.44
20130503,564.64,615.07,558.38,600.04
20130426,608.49,620.71,563.08,567.78
20130419,575.29,627.28,547.42,616.01
20130412,601.92,616.64,570.91,574.04
20130403,614.76,636.68,611.62,622.59
20130329,706.53,711.22,597.22,612.25
20130322,661.74,710.91,641.07,703.39
20130315,693.68,701.83,633.55,677.4
20130308,685.23,756.01,656.41,698.07
20130301,585.32,709.97,584.06,704.33
20130222,636.99,655.16,575.61,580.93
20130208,679.28,695.88,618.2,631.98
20130201,582.18,688.36,582.18,684.6
20130125,555.25,636.68,545.54,581.87
20130118,467.24,559.01,467.24,556.19
20130111,482.58,494.8,465.98,468.8
20130104,474.13,497.31,472.25,482.9
20121228,446.88,476.32,445.63,470.68
20121221,458.15,466.61,445.0,447.82
20121214,425.27,458.15,416.5,457.53
20121207,383.3,421.51,372.96,421.2
20121130,396.77,397.08,379.85,382.99
20121123,389.88,399.59,386.74,397.39
20121116,401.46,408.98,386.74,392.38
20121109,406.16,411.49,399.59,402.4
20121102,386.12,407.1,385.18,405.85
20121026,401.15,405.22,386.12,387.06
20121019,395.51,403.66,387.68,402.72
20121012,390.5,399.59,382.99,395.2
20120928,380.48,394.26,373.28,390.19
20120921,418.06,418.06,380.79,382.36
20120914,423.7,424.64,413.05,419.0
20120907,424.33,429.97,403.03,424.02
20120831,428.71,431.85,418.38,423.39
20120824,448.45,448.76,428.71,429.03
20120817,451.89,458.15,444.37,450.64
20120810,452.83,455.65,445.94,451.26
20120803,441.24,455.65,441.24,453.46
20120727,441.24,447.82,436.54,440.93
20120720,448.76,451.89,443.12,444.06
20120713,450.64,453.14,437.8,448.13
20120706,455.96,463.79,440.93,453.14
20120629,445.0,455.96,439.36,453.77
20120621,453.14,464.42,444.37,445.63
20120615,444.06,459.72,431.53,453.77
20120608,467.86,468.8,441.55,442.81
20120601,468.18,478.83,465.04,473.19
20120525,471.31,479.77,467.55,468.18
20120518,484.46,485.09,469.43,471.31
20120511,499.18,503.26,480.39,480.71
20120504,502.63,509.52,497.93,502.32
20120427,496.99,515.16,491.04,497.62
20120420,486.03,498.87,479.45,498.24
20120413,476.95,499.18,466.92,489.47
20120406,471.0,480.39,462.85,479.77
20120330,480.71,485.09,463.17,471.0
20120323,490.73,492.61,478.83,480.39
20120316,507.64,512.65,485.09,492.61
20120309,528.0,535.83,500.75,507.33
20120302,508.27,527.06,503.88,526.43
20120224,503.26,507.33,490.73,507.33
20120217,504.82,505.45,491.35,494.17
20120210,511.4,512.03,496.99,508.58
20120203,505.45,512.65,493.55,511.09
20120120,502.94,509.52,490.1,504.51
20120109,460.03,474.13,456.59,473.19
20120106,467.24,467.24,452.83,459.72
20111230,461.29,467.86,451.89,467.24
20111223,454.08,468.18,449.38,461.91
20111216,475.69,478.83,446.57,457.53
20111209,478.2,484.78,470.68,475.38
20111202,474.44,488.54,463.79,478.51
20111125,479.14,484.46,467.24,473.5
20111118,501.38,506.7,475.69,478.51
20111111,506.7,510.46,496.05,497.93
20111104,512.34,517.35,499.5,510.77
20111028,483.21,517.66,477.89,512.34
20111021,495.11,502.32,470.68,481.02
20111014,478.51,493.55,462.85,491.35
20110930,493.55,503.88,475.07,481.33
20110923,505.45,517.66,490.41,499.5
20110916,486.34,514.53,485.09,511.4
20110909,498.87,507.33,489.47,495.11
20110901,511.4,515.16,497.31,509.21
20110826,496.99,523.61,488.54,523.3
20110819,500.44,521.73,489.16,498.87
20110812,486.97,502.0,465.98,500.12
20110805,517.66,527.69,489.16,489.47
20110729,514.53,534.89,502.0,522.05
20110722,542.72,546.79,516.1,517.98
20110715,523.61,548.98,509.52,542.41
20110708,511.09,536.46,510.46,527.69
20110701,510.77,528.0,498.24,509.21
20110624,476.95,517.35,472.25,511.09
20110617,492.29,505.76,475.38,476.63
20110610,497.31,508.89,492.61,496.68
20110603,526.12,534.58,495.43,502.32
20110527,551.18,553.37,530.19,530.19
20110520,525.81,561.2,515.78,553.37
20110513,527.06,533.95,511.4,532.38
20110506,547.42,553.99,525.81,528.31
20110429,538.96,574.04,533.32,548.98
20110422,563.7,570.28,534.26,538.33
20110415,517.04,566.84,507.95,565.58
20110408,498.87,522.99,498.87,516.72
20110401,491.67,503.57,480.39,497.93
20110325,473.81,490.73,469.12,488.22
20110318,480.08,486.03,470.06,474.75
20110311,504.51,510.46,481.02,481.64
20110304,474.13,504.2,468.49,501.38
20110225,473.81,485.4,461.29,476.63
20110218,464.11,485.4,463.79,479.45
20110211,459.72,467.24,455.02,464.42
20110201,455.02,464.11,451.58,462.54
20110128,453.46,461.29,447.19,455.02
20110121,474.13,477.89,444.37,453.46
20110114,487.28,497.31,476.32,479.77
20110107,474.44,504.51,469.12,492.92
20101231,499.5,502.94,464.73,473.5
20101224,492.29,500.44,479.77,493.86
20101217,491.04,505.14,488.22,491.04
20101210,498.87,507.64,483.21,490.73
20101203,498.56,507.64,485.72,497.93
20101126,505.14,515.16,487.91,501.69
20101119,519.23,521.42,496.05,511.71
20101112,573.1,586.25,515.47,517.35
20101105,558.07,583.75,553.68,571.85
20101029,559.95,581.87,550.86,555.56
20101022,586.57,607.24,553.06,559.01
20101015,521.42,585.94,521.42,578.74
20101008,502.0,522.05,495.74,518.29
20100929,500.12,503.57,483.52,486.97
20100921,501.06,509.52,496.05,499.18
20100917,517.98,523.93,497.31,500.44
20100910,538.33,554.93,511.4,517.66
20100903,574.04,574.04,532.38,535.2
20100629,544.29,561.51,527.06,527.37
20100625,521.11,568.4,521.11,546.16
20100618,517.35,534.89,516.1,521.42
20100611,514.53,536.14,495.74,516.1
20100604,539.59,548.98,508.89,520.8
20100528,540.21,561.51,525.81,545.23
20100521,542.72,548.04,512.03,537.08
20100514,553.68,571.53,516.41,553.68
20100507,608.49,614.76,541.15,550.86
20100430,605.36,625.09,591.27,622.9
20100423,653.91,654.85,583.75,610.37
20100416,690.55,691.8,666.12,668.31
20100409,716.86,726.26,678.02,688.67
20100402,698.07,726.26,692.74,712.79
20100326,697.13,712.48,673.33,693.37
20100319,695.56,714.98,674.27,700.57
20100312,709.34,739.1,695.56,696.82
20100305,695.88,729.39,693.06,707.78
20100226,677.71,687.42,643.57,682.1
20100212,664.24,686.79,650.78,682.1
20100205,658.92,686.17,636.68,668.0
20100129,686.79,702.45,640.13,658.61
20100122,650.15,713.42,643.26,701.83
20100115,714.98,720.62,624.15,650.15
