date,open,high,low,close,volume,money
20161116,816.2,817.07,813.6,815.33,24442500.0,225369056.0
20161115,813.6,817.07,811.87,816.2,55434298.0,510596192.0
20161114,810.14,817.93,810.14,815.33,97507875.0,898058368.0
20161111,808.41,811.87,805.81,811.87,81226969.0,742969920.0
20161110,804.94,810.14,804.94,808.41,63199874.0,576898432.0
20161109,808.41,808.41,797.15,802.34,72261671.0,656061952.0
20161108,806.67,809.27,804.94,809.27,80669498.0,736747200.0
20161107,804.94,806.67,802.34,806.67,49724012.0,452447936.0
20161104,805.81,811.0,804.94,805.81,50811757.0,463831936.0
20161103,801.48,808.41,800.61,807.54,61687113.0,561464960.0
20161102,808.41,808.41,800.61,802.34,63358600.0,576083776.0
20161101,808.41,810.14,805.81,808.41,52541566.0,480117536.0
20161031,809.27,810.14,804.08,809.27,49359683.0,450148896.0
20161028,810.14,816.2,808.41,811.0,54199774.0,497615040.0
20161027,810.14,811.0,806.67,810.14,32414055.0,296216928.0
20161026,815.33,815.33,807.54,809.27,44045213.0,403750816.0
20161025,817.93,818.8,811.87,814.47,50075292.0,461542688.0
20161024,807.54,822.26,806.67,817.07,91567704.0,844746112.0
20161021,803.21,807.54,801.48,807.54,68389677.0,621549824.0
20161020,803.21,804.08,800.61,802.34,34284457.0,310966016.0
20161019,804.08,805.81,800.61,803.21,48263616.0,438299040.0
20161018,798.88,804.08,798.88,804.08,59373709.0,537784128.0
20161017,803.21,804.08,798.88,800.61,35922316.0,325582464.0
20161014,801.48,804.08,799.75,804.08,33541176.0,304218688.0
20161013,803.21,805.81,800.61,802.34,63236796.0,574142464.0
20161012,808.41,810.14,806.67,807.54,27031620.0,246995536.0
20161011,807.54,809.27,805.81,809.27,36337078.0,331886528.0
20161010,804.94,811.0,803.21,806.67,61138159.0,557122304.0
20160930,801.48,804.94,800.61,802.34,30808486.0,279526464.0
20160929,800.61,803.21,800.61,801.48,30366429.0,275239680.0
20160928,801.48,801.48,798.88,800.61,27136600.0,245499472.0
20160927,799.75,802.34,797.15,801.48,40132367.0,362769216.0
20160926,807.54,807.54,799.75,799.75,43948186.0,398771872.0
20160923,810.14,812.74,808.41,809.27,28879877.0,264699520.0
