,open,high,low,close
20161116,808.41,817.93,797.15,815.33
20161031,804.94,822.26,798.88,809.27
20160930,838.71,841.31,797.15,802.34
20160831,811.87,865.56,790.22,838.71
20160729,769.44,817.07,767.71,813.6
20160630,764.32,773.77,750.6,770.3
20160531,769.37,781.63,739.78,767.2
20160429,772.25,797.51,753.49,768.65
20160331,700.09,795.35,697.2,773.7
20160229,726.07,749.88,685.66,695.76
20160129,871.84,874.0,698.65,727.51
20151231,850.19,928.12,836.48,871.12
20151130,819.16,971.42,800.4,853.08
20151030,788.85,858.13,778.03,825.65
20150930,792.46,871.84,750.6,762.87
20150831,886.27,943.28,677.0,804.73
20150731,1041.42,1114.3,873.28,897.82
20150630,1112.14,1265.12,925.96,1055.13
20150529,1211.0,1226.15,1086.16,1111.42
20150430,946.77,1268.73,930.53,1211.0
20150331,839.12,993.67,794.62,942.56
20150227,813.27,863.18,790.41,836.72
20150130,956.99,981.04,810.86,833.11
20141231,753.13,967.21,721.86,947.97
20141128,666.54,743.51,626.85,743.51
20141031,607.0,677.96,595.58,658.72
20140930,611.21,635.27,597.98,605.2
20140829,647.29,662.33,605.2,611.81
20140731,591.37,662.93,567.91,649.1
20140630,563.7,619.63,551.18,591.37
20140530,543.66,575.73,529.13,563.7
20140430,524.62,568.72,518.1,545.66
20140331,539.65,542.66,490.04,527.12
20140228,554.68,613.82,532.63,545.16
20140130,594.77,603.79,551.18,558.69
20131231,670.95,691.99,560.2,601.29
20131129,682.97,699.01,636.87,668.94
20131031,582.75,713.54,564.21,683.97
20130930,525.62,681.97,520.11,582.75
20130830,475.51,551.18,468.99,519.1
20130731,479.01,530.63,436.92,467.99
20130628,637.62,650.15,445.44,487.03
20130531,564.64,661.74,558.38,639.5
20130426,614.76,636.68,547.42,567.78
20130329,700.26,756.01,597.22,612.25
20130228,640.44,702.45,575.61,702.45
20130131,493.23,657.04,465.98,642.94
20121231,383.3,488.54,372.96,483.84
20121130,394.26,411.49,379.85,382.99
20121031,390.5,405.22,382.99,394.26
20120928,424.33,429.97,373.28,390.19
20120831,451.26,458.15,418.38,423.39
20120731,455.96,463.79,436.54,451.89
20120629,470.68,476.32,431.53,453.77
20120531,502.63,509.52,465.04,470.37
20120427,471.0,515.16,462.85,497.62
20120330,513.9,535.83,463.17,471.0
20120229,498.24,526.43,490.73,514.53
20120131,467.24,509.52,452.83,500.12
20111230,477.89,488.54,446.57,467.24
20111130,503.88,517.35,463.79,464.73
20111031,478.51,517.66,462.85,507.64
20110930,506.7,517.66,475.07,481.33
20110831,517.66,527.69,465.98,506.7
20110729,516.1,548.98,502.0,522.05
20110630,531.76,531.76,472.25,513.59
20110531,547.42,561.2,511.4,532.07
20110429,482.58,574.04,482.27,548.98
20110331,478.51,510.46,469.12,482.58
20110228,458.78,485.4,455.02,477.89
20110131,474.44,504.51,444.37,458.47
20101231,492.29,507.64,464.73,473.5
20101130,558.07,586.25,485.72,492.29
20101029,502.0,607.24,495.74,555.56
20100929,574.04,574.04,483.52,486.97
20100629,524.87,568.4,495.74,527.37
20100531,608.49,614.76,512.03,527.37
20100430,707.78,726.26,583.75,622.9
20100331,695.88,739.1,673.33,705.59
20100226,658.92,687.42,636.68,682.1
20100129,746.93,748.81,624.15,658.61
20091231,735.34,787.02,676.77,742.23
20091130,664.87,816.15,661.74,738.79
20091030,621.02,702.77,612.25,683.04
20090930,548.67,674.27,548.67,605.67
20090831,788.58,789.21,543.97,548.67
20090730,661.74,798.92,654.22,798.92
20090630,545.54,694.31,541.47,662.36
20090527,493.55,580.3,488.22,537.71
20090430,480.08,518.92,448.76,490.1
20090331,392.38,500.44,385.49,478.2
20090226,347.28,479.45,339.45,411.17
20090123,278.69,361.06,257.08,343.52
20081231,256.76,333.81,254.26,275.24
20081128,237.35,334.44,229.52,260.52
20081031,334.23,334.23,228.95,241.1
20080926,462.41,462.41,276.89,339.29
20080829,478.55,515.41,428.2,464.82
20080731,444.1,511.31,406.27,479.27
20080630,586.0,606.96,436.39,443.86
20080530,696.11,704.54,560.95,586.0
20080430,652.74,709.36,496.14,691.77
20080331,770.79,786.69,567.93,657.56
20080229,786.45,900.89,714.9,776.82
20080131,905.71,1050.27,768.62,780.43
20071228,883.79,944.02,820.42,908.12
20071130,1113.15,1158.2,787.66,847.41
20071031,977.99,1153.87,896.07,1135.8
20070928,896.07,949.08,811.03,941.37
20070831,851.5,962.57,806.45,893.67
20070731,624.07,855.12,583.83,851.02
20070629,773.2,859.45,633.95,641.17
20070531,551.99,645.73,545.2,606.52
20070426,393.85,546.51,393.2,546.51
20070330,394.29,435.47,356.62,391.66
20070228,384.65,446.86,343.04,395.39
20070131,299.01,437.66,262.88,397.14
20061229,255.43,299.67,245.57,295.07
20061130,187.31,266.82,177.46,255.21
20061031,160.37,202.64,159.93,187.31
20060929,136.06,159.06,131.68,156.87
20060831,125.55,140.0,121.61,136.5
20060731,143.73,158.4,124.67,125.33
20060630,151.17,151.17,127.08,143.73
20060526,150.74,175.05,145.92,170.45
20060428,116.57,155.34,115.69,150.74
20060331,127.96,129.05,112.84,117.66
20060228,117.22,133.65,112.41,127.96
20060125,112.41,120.51,110.65,117.22
20051230,106.05,115.47,100.8,112.63
20051130,102.77,107.37,98.83,106.05
20051031,115.69,122.26,98.83,103.21
20050927,114.82,119.2,104.08,104.3
20050831,107.81,120.29,105.62,114.6
20050729,107.81,112.84,96.86,108.03
20050630,109.78,129.93,102.99,108.03
20050531,114.6,118.32,104.3,109.78
20050429,92.04,140.0,90.29,113.94
20050331,120.07,120.51,88.75,92.26
20050228,111.09,126.42,110.87,120.07
20050131,122.48,123.8,106.27,110.87
20041231,132.12,136.72,121.61,122.48
20041130,134.75,142.41,126.86,132.56
20041029,157.74,164.1,122.7,135.18
20040930,156.87,180.52,150.3,156.87
20040831,155.12,159.72,151.17,156.87
20040730,164.75,170.89,153.36,155.77
20040629,191.04,198.04,161.69,166.51
20040531,182.71,194.98,171.1,188.85
20040430,211.62,214.25,173.08,182.49
20040331,204.18,227.83,198.26,211.62
20040227,184.03,227.61,182.93,205.05
20040130,164.53,188.19,162.34,181.4
20031231,162.12,178.55,158.84,164.53
20031128,155.77,175.05,145.04,161.69
20031031,180.74,185.56,152.71,156.43
20030930,200.45,205.05,175.05,178.99
20030829,207.24,219.29,196.07,201.11
20030731,217.76,226.3,200.89,207.24
20030630,249.52,249.52,216.0,217.76
20030530,242.07,263.53,233.31,249.73
20030430,233.53,279.3,228.93,247.11
20030331,222.14,234.4,208.78,233.09
20030228,228.49,228.93,211.62,221.7
20030129,201.55,233.31,191.91,229.58
20021231,239.66,239.66,198.26,204.62
20021129,258.71,279.96,224.55,239.88
20021031,270.54,274.27,249.3,258.5
20020927,313.03,322.23,272.73,276.46
20020830,302.3,320.92,292.66,312.16
20020731,301.21,313.91,276.02,303.61
20020628,215.79,311.06,210.75,300.11
20020531,224.11,232.87,208.12,216.0
20020430,213.16,229.8,198.48,223.45
20020329,193.88,238.78,192.79,213.16
20020228,201.99,212.06,192.35,193.88
20020131,240.54,240.97,178.55,202.21
20011231,265.5,270.54,234.18,239.88
20011130,274.05,282.59,246.45,265.5
20011031,250.83,289.16,232.21,274.05
20010928,250.83,259.15,233.96,250.83
20010830,274.92,283.03,245.35,249.73
20010731,308.43,323.11,269.45,274.48
20010628,326.39,335.15,303.83,306.9
20010531,311.72,331.43,304.05,326.39
20010430,327.49,346.32,310.62,311.72
20010330,282.59,346.11,280.4,326.83
20010228,300.11,302.3,273.83,280.18
20010119,290.03,304.49,274.92,299.67
20001229,311.06,314.13,284.78,289.6
20001130,307.69,329.9,303.83,310.84
20001031,298.43,312.91,292.7,307.69
20000929,310.22,312.75,283.26,297.75
20000831,324.54,331.28,310.39,311.06
20000731,315.27,340.04,308.2,323.87
20000630,315.44,336.0,313.59,317.46
20000531,334.14,335.15,306.51,315.27
20000428,321.68,349.31,316.12,332.96
20000331,322.01,358.91,309.88,321.51
20000229,335.49,365.99,311.9,320.66
20000128,306.85,357.06,301.79,324.2
19991230,342.23,349.47,298.26,306.01
19991130,375.93,394.12,341.89,343.75
19991029,389.57,396.14,364.13,375.59
19990930,417.2,432.37,392.44,394.29
19990831,375.93,426.81,357.06,417.2
19990730,461.68,473.64,319.99,374.24
19990630,314.26,497.23,305.33,465.89
19990531,227.66,314.26,205.76,314.26
